代码,名称,副名称,特性,正文,风味文本,背面名称,背面副名称,背面特性,背面正文,背面风味文本,
1104,聚集于此,,,"<b>简单/普通</b>
    [skull] -X。X为位于你所在地点的[[食尸鬼]]敌人的数量。
    [cultist] -1。如果你检定失败，受到1点恐惧。
    [tablet] -2。如果你所在地点有[[食尸鬼]]敌人，受到1点伤害。
",,,,,"<b>困难/专家</b>
    [skull] -2。如果你检定失败，在本次技能检定后，查找遭遇牌库及弃牌堆，找出一个[[食尸鬼]]敌人，将其抽取。混洗遭遇牌库。
    [cultist] 揭示另一个标记。如果你检定失败，受到2点恐惧。
    [tablet] -4。如果你所在地点有[[食尸鬼]]敌人，受到1点伤害和1点恐惧。",,
1105,到底发生了什么？！,,,,夜色已深。你埋头书房，研究最近在本地区发生的数起血腥失踪案件。数个小时过去了，突然从走廊另一头的客厅里传来怪异的吟唱。于此同时，你听见泥土的搅动声，仿佛有东西在地板之下挖掘。,时间崩坏,,,调查员队长必须决定(选择一项)：每位调查员随机从其手中弃掉一张卡牌，或者调查员队长受到2点恐惧。,你的房屋在你眼前持续变换着模样。墙壁已腐败，不少房间的地板化作了泥土。虽然时不时能认出自宅的痕迹，你仍感觉自己仿佛被传送到了截然不同的处所。,
1106,食尸鬼崛起,,,,你身前的地板崩陷，错综而旷阔的隧道网络映入眼帘，直通地底幽深处。诸多诡异生物的身影在隧道中迅速穿行，寻找上来的路。你可不想呆在这儿等着它们……,地下隧道,,,将遭遇弃牌堆混洗入遭遇牌库。从遭遇牌库顶开始弃掉卡牌，直到弃掉一个[[食尸鬼]]敌人。调查员队长抽取该敌人。,这头野兽依稀还有点人形，却长着蹄子和一副犬类的面孔。它正撕裂你面前的地面。你看见自家地板下出现了错综而旷阔的隧道。恶魔般的嚎叫声从地下岩洞的深处传来。,
1107,他们爬出來了！,,,"<b>强制</b> - 当敌军阶段结束时：每个未与调查员交战的[[食尸鬼]]敌人向客厅移动一个地点。
    <b>强制</b> - 当一轮结束时：走廊或客厅中每有1个[[食尸鬼]]敌人，在本密谋上放置1个毁灭标记。",从屋外传来一声疯狂的嚎叫，吸引了所有怪物的注意力。他们匆忙逃离屋子，一路破门而出，利爪撕裂挡路的一切。,重获自由的食尸鬼,,,"- 如果调查员处于场景1或场景2，他们被困于屋内，被食尸鬼的利爪撕碎。<b>(→结局3)</b>
    - 如果调查员处于场景3，他们侥幸逃脱，而食尸鬼四处肆虐。每位没有撤退的调查员被击败并承受1点肉体创伤。",地面开始颤动，你看见利爪从泥土中伸出。在你周围，数个诡异生物正拼命地掘土而出。慌忙四顾，你发现破土而出的怪物已将你包围。你惊恐不已，极尽所能夺路而逃。,
1108,被困于此,,,,你快步上前调查，只见书房的门在眼前消失，留下一道厚实的墙壁。你被困在了书房之中，必须另寻出路。,地板上的门,,,"将放在一边的走廊、地窖、阁楼和客厅放置入场。
    弃掉书房的所有敌人。
    将所有调查员放到走廊。
    将书房从游戏中移除。","你发现新近购置的地毯边缘破败不堪，沾满泥土。你感到困惑，移开了上面的家具，掀开地毯。让你大吃一惊的是，你居然在地毯下找到了离开书房的门。你缓慢转动把手，门扉弹起，显露出下方竟是你家的走廊。
    你跳下门道，落在松软的泥土上。头顶上，通向书房的门嘎然关闭。一股木材燃烧的气味充斥着狭窄的走廊，混杂着腐烂与腐败的气息。",
1109,灼热屏障,,,<b>目标</b> - 在一轮结束时，走廊内的调查员可以共同花费所需数量的线索，以推进当前场景。,一道发光的屏障阻挡了前往客厅的路。你试图靠近，但强烈的高温将你逼退。你抓起一把泥土朝屏障扔了过去。泥土瞬间烧成灰烬，让你胆战心惊。也许地窖或者阁楼有什么东西可以帮你。,打破屏障,,,"阻挡前往客厅道路的屏障消失了。揭示客厅。
    将放在一边的丽塔·钱德勒放置入场，放到客厅。将放在一边的食尸鬼祭司生成在走廊。",你用在阁楼找到的木桶从地窖内装来冰雪，朝着屏障抛洒过去。屏障吞噬了冰雪，发出一阵震动和闪光，然后便在嘶嘶声中逐渐消失。,
1110,瞧瞧你们做的好事！,,,<b>目标</b> - 如果食尸鬼祭司被击败，推进。,你的客厅里站着一名女子，她手持火炬，眼中泛着恨意的光。“你对我的屏障做了什么？”她暴怒地吼叫着。你还没来得及回答，一声阴森的嚎叫从背后传来。一只穿着长袍、戴着鹿头骨面具的怪物撕裂了墙壁，径直朝你而来。,保卫家园,,,"调查员队长必须决定(选择一项)：
    - 这房子从来也没什么家的感觉。我们烧了它吧！<b>(→结局1)</b>
    - 这座“地狱坑洞”可是我家！我们绝不能烧毁它！<b>(→结局2)</b>","身着长袍的怪物倒下了，恶魔般的兽群重新钻回了地下，屋内的喧嚣也宣告停歇。你客厅中的陌生人并未因此而放松。
    “你们破坏了我困住食尸鬼的封印。”她举起手中的火炬，“现在必须采取更直接的措施。让我们彻底烧毁这座地狱坑洞！”",
1111,书房,,,,书房的门消失了。,,,,,你对近来阿卡姆发生的诸多怪异事件已持续调查了好几天。你的书桌上铺满了新闻报道、警方报告和目击者的陈述。,
1112,走廊,,,,墙壁上溅有淤泥，硬木地板不见了，一条泥土小径取而代之。,,,,,你落在走廊的地面上，一阵恐慌与错乱向你袭来。乾坤颠倒，天旋地转。,
1113,阁楼,,,<b>强制</b> - 你进入阁楼后：受到1点恐惧。,一头畸形野兽的血腥死尸挂在天花板垂下的肉钩上，来回摇摆着。血液从死尸上缓慢流出，滴落到一个小木桶之内。,,,,,当你走近阁楼的阶梯时，一股腐肉的气味扑鼻而来。,
1114,地窖,,,<b>强制</b> - 你进入地窖后：受到1点伤害。,你的地窖变成了一座由冰冷的隧道与地穴组成的地下网络。寒气侵入骨髓。,,,,,通往地窖的阶梯格外滑溜，结上了一层泛光的薄冰……,
1115,客厅,,,"[action] <b>撤退</b>。 “我再也受不了了！”惊恐中，你从前门夺路而逃。
    没有玩家控制丽塔·钱德勒时，她获得：“[action]：<b>谈判</b>。 检定[intellect](4)。如果你检定成功，控制丽塔·钱德勒。”",,,,,进入客厅的门被一道泛着幽暗光芒的神秘屏障挡住了。你不能移动到客厅。,你不确定如果强行越过这奇怪的屏障会发生什么，但根据它散发出的高温，你确信自己并不想尝试。,
1116,食尸鬼祭司,,类人. 怪物. 食尸鬼. 精英,"<b>猎物</b> - [combat]最高。
    猎手。反击。",一个穿着红色长袍、头戴骨制面具的人形。它发出呓语与低吼，并跳上前来攻击。,,,,,,
1117,丽塔·钱德勒,狂热者,盟友,"你控制丽塔·钱德勒时，她获得：
    “每位在你所在地点的调查员得到+1[combat]。
    [reaction]在一位你所在地点的调查员成功攻击一个[[怪物]]敌人时：该调查员造成+1伤害。”",,,,,,,
